step,loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,10.764993667602539,31609.63861131668,0.0,2430.99755859375,2486.0,0.34794478595722467
2,8.58421802520752,12485.59934771061,0.0,2478.81298828125,2586.0,0.3777959169819951
3,9.295135498046875,19883.507504701614,0.0,2496.486328125,2618.0,0.40253062290139496
4,8.231331825256348,13321.464240849018,0.0,2496.486328125,2618.0,0.42690921598114073
5,9.294849395751953,6681.13799983263,0.0,2532.4189453125,2658.0,0.45147414691746235
6,9.901419639587402,4220.5376529842615,0.0,2532.4189453125,2660.0,0.47583585989195853
7,8.619011878967285,10487.241816818714,0.0,2532.4189453125,2660.0,0.5001282909652218
8,7.318053245544434,5233.825472488999,0.0,2532.4189453125,2660.0,0.5241651609539986
9,7.604927062988281,2577.6474414095283,0.0,2532.4189453125,2660.0,0.5484011269873008
10,7.35671854019165,2354.5293897800148,0.0,2532.4189453125,2662.0,0.5726839039707556
11,7.275722980499268,3286.650208391249,0.0,2532.4189453125,2662.0,0.596974914893508
12,7.103207111358643,2323.682559836656,0.0,2532.4189453125,2662.0,0.6207338819513097
13,7.165679931640625,1919.998276758939,0.0,2532.4189453125,2662.0,0.645133729907684
14,6.900362491607666,2796.6821660101414,0.0,2532.4189453125,2662.0,0.6693493959028274
15,7.019438743591309,2561.3502328060567,0.0,2532.4189453125,2662.0,0.6935043738922104
16,6.259568214416504,1406.5809123720974,0.0,2532.4189453125,2662.0,0.7172602269565687
17,6.305031776428223,1430.898130422458,0.0,2532.4189453125,2662.0,0.740948672988452
18,6.9130096435546875,1504.3223386108875,0.0,2532.4189453125,2662.0,0.7650787919992581
19,6.386586666107178,1556.2318389769644,0.0,2532.4189453125,2662.0,0.7888188539072871
20,6.242810249328613,1685.7483675703406,0.0,2532.4189453125,2662.0,0.8131338380044326
21,6.4426679611206055,1984.7465238533914,0.0,2532.4189453125,2662.0,0.8372154769022018
22,7.43224573135376,1707.0427374355495,0.0,2730.94970703125,2910.0,0.8774755519116297
23,5.563063621520996,1590.4280358552933,0.0,2730.94970703125,2910.0,0.9020201589446515
24,5.561361312866211,1389.488431327045,0.0,2730.94970703125,2910.0,0.9261220399057493
25,6.5951642990112305,2274.2159298732877,0.0,2730.94970703125,2910.0,0.9504022999899462
26,5.744108200073242,1951.3601379096508,0.0,2730.94970703125,2910.0,0.9742664518998936
27,5.582569122314453,1867.9727625586092,0.0,2730.94970703125,2910.0,0.9984908419428393
28,5.041461944580078,1437.2063259920105,0.0,2730.94970703125,2910.0,1.0224554549204186
29,5.510373115539551,1379.1220209412277,0.0,2730.94970703125,2910.0,1.0466327059548348
30,4.983182907104492,2106.5471297437325,0.0,2730.94970703125,2910.0,1.0708525369409472
31,5.348834991455078,1645.2098855786026,0.0,2730.94970703125,2910.0,1.0950070269173011
32,4.592091083526611,1721.0466207750142,0.0,2730.94970703125,2910.0,1.11911649198737
33,5.282573223114014,2088.6155658215284,0.0,2730.94970703125,2910.0,1.1429152279160917
34,5.246474266052246,2030.337327254936,0.0,2730.94970703125,2910.0,1.1670616589253768
35,5.076255798339844,2322.2696633972228,0.0,2730.94970703125,2910.0,1.1913930010050535
36,4.6870317459106445,2528.1601454354823,0.0,2730.94970703125,2910.0,1.215672020916827
37,6.753705024719238,2199.1150532513857,0.0,2730.94970703125,2910.0,1.2406808689702302
38,4.9443559646606445,1604.78083005175,0.0,2730.94970703125,2910.0,1.2647567229578272
39,4.344922065734863,1373.0284174755216,0.0,2730.94970703125,2910.0,1.2892575080040842
40,4.488783836364746,1951.0192648721859,0.0,2730.94970703125,2910.0,1.3134523509070277
41,4.39223051071167,2034.9771218076348,0.0,2730.94970703125,2910.0,1.3377972599118948
42,4.955723285675049,2626.978471746668,0.0,2730.94970703125,2910.0,1.3622603729600087
43,4.350009918212891,1558.7596149090677,0.0,2730.94970703125,2910.0,1.3866309049772099
44,4.342622756958008,2004.0770170334727,0.0,2730.94970703125,2910.0,1.4105036929249763
45,4.7568159103393555,2269.455168545246,0.0,2730.94970703125,2910.0,1.4347462619189173
