run,bucket,baseline_loss,run_loss,loss_delta_run_minus_baseline,relative_gain_vs_baseline,clean_retention,count
bb_noise_l32_seed1_2k,clean_english,0.30890142926573755,0.676978515855968,0.3680770865902305,-1.1915680916891649,2.191568091689165,500
bb_noise_l32_seed1_2k,code,0.3875852378706137,2.4260518381992977,2.038466600328684,-5.259402064763825,2.191568091689165,120
bb_noise_l32_seed1_2k,multilingual_ar,0.380582083016634,3.997267797589302,3.616685714572668,-9.503037257838,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_hi,0.20375295225530862,3.1947529286146166,2.990999976359308,-14.679541784560227,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_ja,0.5564543843269348,4.158013066649437,3.601558682322502,-6.472334092000739,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_ko,0.37660561315715313,3.8527427941560743,3.476137180998921,-9.230178891540763,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_latin,0.41324442997574806,4.4622160404920574,4.048971610516309,-9.798006498850887,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_ru,0.3207838121801615,5.8340729534626,5.5132891412824385,-17.186930674001765,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_zh,0.6084793820977211,4.5418889939785005,3.9334096118807795,-6.464326857420254,2.191568091689165,80
bb_noise_l32_seed1_2k,tokenizer_stress,0.48062532022595406,3.1705881396929425,2.6899628194669885,-5.596797976025003,2.191568091689165,120
bb_noise_l32_seed1_2k,typo_noise_heavy,2.8353178641200065,0.8203373056277633,-2.014980558492243,0.7106718382411877,2.191568091689165,200
bb_noise_l32_seed1_2k,typo_noise_light,1.3838238319009541,0.7453612808324397,-0.6384625510685145,0.46137560023912916,2.191568091689165,200
bb_noise_l32_seed1_2k,typo_noise_medium,1.842755225598812,0.7785762441903352,-1.0641789814084768,0.5774934004393703,2.191568091689165,200
bb_noise_l32_seed1_2k,unicode_stress,0.5613888148218393,3.822585642337799,3.2611968275159597,-5.809158895605933,2.191568091689165,128
bb_recon_fixed_l32_then_lm,clean_english,0.30890142926573755,0.566929072830826,0.2580276435650885,-0.8353073800222399,1.83530738002224,500
bb_recon_fixed_l32_then_lm,code,0.3875852378706137,2.0057524532079696,1.6181672153373559,-4.174997025757579,1.83530738002224,120
bb_recon_fixed_l32_then_lm,multilingual_ar,0.380582083016634,4.467778307199478,4.087196224182844,-10.739329060859143,1.83530738002224,80
bb_recon_fixed_l32_then_lm,multilingual_hi,0.20375295225530862,3.567527085542679,3.3637741332873703,-16.509081689635885,1.83530738002224,80
bb_recon_fixed_l32_then_lm,multilingual_ja,0.5564543843269348,3.7556065529584886,3.199152168631554,-5.749172364777252,1.83530738002224,80
bb_recon_fixed_l32_then_lm,multilingual_ko,0.37660561315715313,4.301924693584442,3.925319080427289,-10.42289053400088,1.83530738002224,80
bb_recon_fixed_l32_then_lm,multilingual_latin,0.41324442997574806,5.9651116013526915,5.551867171376943,-13.434826385204428,1.83530738002224,80
bb_recon_fixed_l32_then_lm,multilingual_ru,0.3207838121801615,5.194424384832383,4.873640572652221,-15.192913069799927,1.83530738002224,80
bb_recon_fixed_l32_then_lm,multilingual_zh,0.6084793820977211,4.713361752033234,4.104882369935512,-6.746132228480788,1.83530738002224,80
bb_recon_fixed_l32_then_lm,tokenizer_stress,0.48062532022595406,2.8533292601505917,2.3727039399246377,-4.936701917429506,1.83530738002224,120
bb_recon_fixed_l32_then_lm,typo_noise_heavy,2.8353178641200065,0.7748995134467259,-2.0604183506732805,0.7266974813466883,1.83530738002224,200
bb_recon_fixed_l32_then_lm,typo_noise_light,1.3838238319009541,0.6415500394301489,-0.7422737924708053,0.536393271570664,1.83530738002224,200
