run,step,train_loss,validation_clean_loss,adapter_grad_abs_sum,llm_grad_abs_sum
qwen05_kv_p32_all,1,8.608396530151367,,75144.96939086914,0.0
qwen05_kv_p32_all,100,1.4840857982635498,,2269.889336682856,0.0
qwen05_kv_p32_all,500,0.9036940336227417,,1223.0317813009024,0.0
qwen05_kv_p32_all,1000,0.17369264364242554,0.5242321147047915,377.73713661544025,0.0
qwen05_kv_p32_all,2000,0.2524084746837616,0.46834922052764644,643.4397271722555,0.0
tinyllama_kv_p32_all_s71,1,10.357649803161621,,49299.66131544113,0.0
tinyllama_kv_p32_all_s71,100,2.318432331085205,,2061.1981229819357,0.0
tinyllama_kv_p32_all_s71,500,0.5912433862686157,,1157.2834233734757,0.0
tinyllama_kv_p32_all_s71,1000,0.3649919331073761,0.5068916945283611,973.6922664418817,0.0
tinyllama_kv_p32_all_s71,2000,0.21285420656204224,0.3886947430709066,331.83240811899304,0.0
tinyllama_kv_p32_all_s72,1,11.284538269042969,,47699.99067401886,0.0
tinyllama_kv_p32_all_s72,100,3.436471462249756,,2021.3433685619384,0.0
tinyllama_kv_p32_all_s72,500,1.8149645328521729,,1422.506161969155,0.0
tinyllama_kv_p32_all_s72,1000,0.5238934755325317,0.4302530322037637,1143.0953939035535,0.0
tinyllama_kv_p32_all_s72,2000,0.3017548620700836,0.3637416757340543,396.5900338925421,0.0
tinyllama_kv_p32_all_s73,1,10.764993667602539,,31609.63861131668,0.0
tinyllama_kv_p32_all_s73,100,3.5674257278442383,,1850.7086562141776,0.0
tinyllama_kv_p32_all_s73,500,0.756149411201477,,1038.9033805942163,0.0
tinyllama_kv_p32_all_s73,1000,0.7581955194473267,0.6126347345113754,1048.827563803643,0.0
tinyllama_kv_p32_all_s73,2000,0.21636590361595154,0.30290782320468373,344.2900067791343,0.0
tinyllama_constant_kv,1,6.670742511749268,,593.09814453125,0.0
tinyllama_constant_kv,100,1.3583056926727295,,301.5639343261719,0.0
tinyllama_constant_kv,500,0.5280807018280029,,191.5847930908203,0.0
tinyllama_constant_kv,1000,0.4574275016784668,0.8241184877852599,139.50772094726562,0.0
tinyllama_constant_kv,2000,0.5339328050613403,0.8281094396611055,145.56381225585938,0.0
