run,layer,batch_start,buckets,num_samples,native_seq_len,byte_prefix_len,key_rms_ratio,value_rms_ratio,key_mean_cosine,value_mean_cosine
qwen05_kv_p32_all,0,0,clean_english,4,30,32,0.02789287455379963,34.3516731262207,-0.10466146469116211,-0.2599759101867676
qwen05_kv_p32_all,1,0,clean_english,4,30,32,0.07263994961977005,5.294773578643799,-0.23127377033233643,-0.03792772442102432
qwen05_kv_p32_all,2,0,clean_english,4,30,32,0.12530259788036346,6.0117058753967285,0.06143462657928467,0.022861238569021225
qwen05_kv_p32_all,3,0,clean_english,4,30,32,0.5006866455078125,2.9762701988220215,-0.09928280860185623,-0.07754267752170563
qwen05_kv_p32_all,4,0,clean_english,4,30,32,0.6078561544418335,2.5938658714294434,0.04794636741280556,0.01866023801267147
qwen05_kv_p32_all,5,0,clean_english,4,30,32,1.0503112077713013,2.027341604232788,-0.05848637595772743,-0.18075360357761383
qwen05_kv_p32_all,6,0,clean_english,4,30,32,1.0690113306045532,2.954817771911621,0.07149115949869156,-0.1549820452928543
qwen05_kv_p32_all,7,0,clean_english,4,30,32,0.8695812225341797,2.0702152252197266,0.06652581691741943,-0.0953359380364418
qwen05_kv_p32_all,8,0,clean_english,4,30,32,0.06073835492134094,3.5107648372650146,0.27559417486190796,-0.3667655289173126
qwen05_kv_p32_all,9,0,clean_english,4,30,32,0.7482973337173462,1.5548959970474243,-0.03474739193916321,-0.22997966408729553
qwen05_kv_p32_all,10,0,clean_english,4,30,32,0.8001870512962341,1.8432663679122925,-0.004222228191792965,0.015681948512792587
qwen05_kv_p32_all,11,0,clean_english,4,30,32,0.7760308384895325,1.3655296564102173,-0.012617641128599644,-0.14352786540985107
qwen05_kv_p32_all,12,0,clean_english,4,30,32,0.9121663570404053,2.2283120155334473,-0.024471355602145195,0.048610761761665344
qwen05_kv_p32_all,13,0,clean_english,4,30,32,0.9091192483901978,2.1900248527526855,0.007950738072395325,-0.18659551441669464
qwen05_kv_p32_all,14,0,clean_english,4,30,32,0.8887460827827454,1.8953602313995361,-0.012625396251678467,0.10969357937574387
qwen05_kv_p32_all,15,0,clean_english,4,30,32,1.035197377204895,2.07181978225708,0.04934270307421684,-0.13311347365379333
qwen05_kv_p32_all,16,0,clean_english,4,30,32,0.8775876760482788,1.4609827995300293,-0.01704602688550949,0.038713544607162476
qwen05_kv_p32_all,17,0,clean_english,4,30,32,1.1324217319488525,1.6695289611816406,0.20378842949867249,0.05167478695511818
qwen05_kv_p32_all,18,0,clean_english,4,30,32,1.15720534324646,1.9920357465744019,-0.00784461759030819,0.002412460744380951
qwen05_kv_p32_all,19,0,clean_english,4,30,32,1.0754462480545044,2.3188087940216064,-0.08009284734725952,-0.027962449938058853
qwen05_kv_p32_all,20,0,clean_english,4,30,32,1.1888492107391357,1.2259631156921387,0.1471894085407257,0.37377339601516724
qwen05_kv_p32_all,21,0,clean_english,4,30,32,1.3578267097473145,1.0263080596923828,-0.0891353189945221,0.2213369905948639
qwen05_kv_p32_all,22,0,clean_english,4,30,32,1.5683295726776123,1.6455482244491577,0.1477958858013153,-0.032251983880996704
qwen05_kv_p32_all,23,0,clean_english,4,30,32,1.2526196241378784,1.785035490989685,0.18728967010974884,-0.18339473009109497
qwen05_kv_p32_all,0,4,clean_english,4,30,32,0.028332345187664032,34.05344009399414,-0.0976807102560997,-0.2262755185365677
qwen05_kv_p32_all,1,4,clean_english,4,30,32,0.07020090520381927,5.08741569519043,-0.23066116869449615,-0.04307352378964424
qwen05_kv_p32_all,2,4,clean_english,4,30,32,0.12193866074085236,5.881879806518555,0.05703197792172432,0.10082927346229553
qwen05_kv_p32_all,3,4,clean_english,4,30,32,0.49024370312690735,2.891247272491455,-0.08945422619581223,-0.06220382824540138
qwen05_kv_p32_all,4,4,clean_english,4,30,32,0.5943942070007324,2.504441261291504,0.05252775922417641,-0.018043817952275276
qwen05_kv_p32_all,5,4,clean_english,4,30,32,1.018583059310913,2.0211987495422363,-0.0728125348687172,-0.15491226315498352
