mode,changed_frac,tokens_per_sec,clean_english,typo_noise_light,typo_noise_medium,typo_noise_heavy,unicode_stress,code,tokenizer_stress,multilingual_zh,multilingual_ar
raw,0.0,23546.88144816402,0.30890142926573755,1.3838238319009541,1.842755225598812,2.8353178641200065,0.5613888148218393,0.3875852378706137,0.48062532022595406,0.6084793820977211,0.380582083016634
nfc,0.015285996055226824,23559.14579597423,0.30890142926573755,1.3838238319009541,1.842755225598812,2.8353178641200065,0.5613888148218393,0.3875852378706137,0.48062532022595406,0.6084793820977211,0.380582083016634
nfkc,0.051775147928994084,23554.348687896512,0.30890142926573755,1.3838238319009541,1.842755225598812,2.8353178641200065,0.8658493373077363,0.3875852378706137,0.48062532022595406,0.7061337918043137,0.380582083016634
whitespace,0.11242603550295859,23558.037499146147,0.30890142926573755,1.3518475724756718,1.825714839398861,2.8136798706650734,0.5613888148218393,0.42213452855745953,0.48062532022595406,0.6084793820977211,0.380582083016634
punctfold,0.023175542406311637,23482.484740792832,0.30890142926573755,1.3838238319009541,1.842755225598812,2.8353178641200065,0.6172184543684125,0.3875852378706137,0.48062532022595406,0.6084793820977211,0.380582083016634
casefold,0.6932938856015779,23701.977773115006,0.6028299404978752,1.072063212096691,1.4980150254070759,2.438041301369667,0.5840464876964688,0.4488021864245335,0.5867849287887414,0.6084793820977211,0.380582083016634
repeat_squeeze,0.03895463510848126,23658.389110804903,0.30890142926573755,1.3835361752659083,1.8429417069256306,2.818948270082474,0.5613888148218393,0.3875852378706137,0.48062532022595406,0.6084793820977211,0.380582083016634
typo_cleanup,0.7085798816568047,23543.924246101255,0.6028299404978752,1.0747926975786686,1.5098350203037263,2.415457540601492,0.639876127243042,0.4833514771113793,0.5867849287887414,0.6084793820977211,0.380582083016634
nfkc_cleanup,0.2608481262327416,23361.848804405276,0.3603451842963695,1.4330144968628884,1.9065312845259905,2.85575316041708,1.0499788105953485,0.4363058832784494,0.5421541258692741,0.7061337918043137,0.38690350875258445
oracle_clean_typo,0.2958579881656805,25135.36241593245,0.30886097899079323,0.30387529283761977,0.30387529283761977,0.30387529283761977,0.5613699634559453,0.3875852378706137,0.48062532022595406,0.6084793820977211,0.380582083016634
