run,bucket,baseline_loss,run_loss,delta,relative_gain,clean_retention,llm_trainable_params,checksum_delta
qwen15_prefix_p64_2k,clean_english,0.3274165761470795,2.0351174801588057,1.7077009040117261,-5.215682492643886,6.215682492643886,0,0.0
qwen15_prefix_p64_2k,typo_noise_light,0.7866413344442844,2.17849654763937,1.3918552131950854,-1.7693644514349718,6.215682492643886,0,0.0
qwen15_prefix_p64_2k,typo_noise_medium,1.0081759759038686,2.232473973631859,1.2242979977279902,-1.214369343239269,6.215682492643886,0,0.0
qwen15_prefix_p64_2k,typo_noise_heavy,1.7165099423378707,2.294991883337498,0.5784819409996271,-0.33701053907776385,6.215682492643886,0,0.0
qwen15_prefix_p64_2k,unicode_stress,0.4587635676143691,1.781659313943237,1.322895746328868,-2.8836111664404824,6.215682492643886,0,0.0
qwen15_prefix_p64_2k,code,0.35295224487781524,1.4420170987645784,1.089064853886763,-3.085586987168122,6.215682492643886,0,0.0
qwen15_prefix_p64_2k,tokenizer_stress,0.355241401369373,1.9195475349823634,1.5643061336129904,-4.403501752844556,6.215682492643886,0,0.0
qwen15_prefix_p64_2k,multilingual_zh,0.608251366019249,4.385796210169792,3.777544844150543,-6.2104995651271535,6.215682492643886,0,0.0
qwen15_prefix_p64_2k,multilingual_ar,0.3797353025525808,4.874053493142128,4.4943181905895475,-11.835397342250614,6.215682492643886,0,0.0
qwen15_prefix_p64_8k,clean_english,0.3274165761470795,0.8926877484023571,0.5652711722552777,-1.7264586262161359,2.726458626216136,0,0.0
qwen15_prefix_p64_8k,typo_noise_light,0.7866413344442844,0.9774388012290001,0.19079746678471565,-0.24254696318431165,2.726458626216136,0,0.0
qwen15_prefix_p64_8k,typo_noise_medium,1.0081759759038686,1.044360258281231,0.036184282377362376,-0.035890839736507085,2.726458626216136,0,0.0
qwen15_prefix_p64_8k,typo_noise_heavy,1.7165099423378707,1.1546197982877493,-0.5618901440501214,0.32734453217604564,2.726458626216136,0,0.0
qwen15_prefix_p64_8k,unicode_stress,0.4587635676143691,0.8140871031209826,0.35532353550661355,-0.774524309666399,2.726458626216136,0,0.0
qwen15_prefix_p64_8k,code,0.35295224487781524,0.6881389958163102,0.335186750938495,-0.9496660123369656,2.726458626216136,0,0.0
qwen15_prefix_p64_8k,tokenizer_stress,0.355241401369373,0.9902919342120489,0.6350505328426759,-1.787659125301003,2.726458626216136,0,0.0
qwen15_prefix_p64_8k,multilingual_zh,0.608251366019249,5.856770849227905,5.248519483208656,-8.628865920282305,2.726458626216136,0,0.0
qwen15_prefix_p64_8k,multilingual_ar,0.3797353025525808,6.081501889228821,5.70176658667624,-15.015108019583545,2.726458626216136,0,0.0
qwen15_kv_p32_all,clean_english,0.3274165761470795,0.824484839297831,0.49706826315075153,-1.5181524069430818,2.5181524069430816,0,0.0
qwen15_kv_p32_all,typo_noise_light,0.7866413344442844,0.8707164694275707,0.08407513498328634,-0.10687861329163494,2.5181524069430816,0,0.0
qwen15_kv_p32_all,typo_noise_medium,1.0081759759038686,0.8951769094634802,-0.11299906644038848,0.11208268114014566,2.5181524069430816,0,0.0
qwen15_kv_p32_all,typo_noise_heavy,1.7165099423378707,0.9316853145509958,-0.7848246277868749,0.45722113716274254,2.5181524069430816,0,0.0
qwen15_kv_p32_all,unicode_stress,0.4587635676143691,1.0516804931685328,0.5929169255541638,-1.2924237393945857,2.5181524069430816,0,0.0
qwen15_kv_p32_all,code,0.35295224487781524,0.9717118789752325,0.6187596340974173,-1.7530973186234275,2.5181524069430816,0,0.0
qwen15_kv_p32_all,tokenizer_stress,0.355241401369373,1.2218597039580346,0.8666183025886616,-2.4395194345255073,2.5181524069430816,0,0.0
qwen15_kv_p32_all,multilingual_zh,0.608251366019249,10.252555119991303,9.644303753972054,-15.855786427723116,2.5181524069430816,0,0.0
qwen15_kv_p32_all,multilingual_ar,0.3797353025525808,11.204808950424194,10.825073647871614,-28.506893025498197,2.5181524069430816,0,0.0
