run,bucket,baseline_loss,bytebridge_loss,loss_delta_bytebridge_minus_baseline,relative_robustness_gain_vs_baseline,baseline_degradation_ratio,bytebridge_degradation_ratio,clean_retention,count
bb_noise_l32_seed1_2k,clean_english,0.30890142926573755,0.676978515855968,0.3680770865902305,-1.1915680916891649,1.0,1.0,2.191568091689165,500
bb_noise_l32_seed1_2k,code,0.3875852378706137,2.4260518381992977,2.038466600328684,-5.259402064763825,1.2547214132090891,3.5836467205045803,2.191568091689165,120
bb_noise_l32_seed1_2k,multilingual_ar,0.380582083016634,3.997267797589302,3.616685714572668,-9.503037257838,1.232050249561105,5.9045711259170135,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_hi,0.20375295225530862,3.1947529286146166,2.990999976359308,-14.679541784560227,0.659605080946475,4.719134882109498,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_ja,0.5564543843269348,4.158013066649437,3.601558682322502,-6.472334092000739,1.8013978946281786,6.142016281553731,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_ko,0.37660561315715313,3.8527427941560743,3.476137180998921,-9.230178891540763,1.2191773086073097,5.6910857640507055,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_latin,0.41324442997574806,4.4622160404920574,4.048971610516309,-9.798006498850887,1.3377873678280967,6.591370236986111,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_ru,0.3207838121801615,5.8340729534626,5.5132891412824385,-17.186930674001765,1.03846658444627,8.61781107792768,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_zh,0.6084793820977211,4.5418889939785005,3.9334096118807795,-6.464326857420254,1.969817308855074,6.709059279725827,2.191568091689165,80
bb_noise_l32_seed1_2k,tokenizer_stress,0.48062532022595406,3.1705881396929425,2.6899628194669885,-5.596797976025003,1.5559180848350436,4.683439821844372,2.191568091689165,120
bb_noise_l32_seed1_2k,typo_noise_heavy,2.8353178641200065,0.8203373056277633,-2.014980558492243,0.7106718382411877,9.178713969888685,1.2117626873144316,2.191568091689165,200
