run,bucket,baseline_loss,run_loss,loss_delta_run_minus_baseline,relative_gain_vs_baseline,clean_retention,count
bb_noise_l32_seed1_2k,clean_english,0.30890142926573755,0.676978515855968,0.3680770865902305,-1.1915680916891649,2.191568091689165,500
bb_noise_l32_seed1_2k,code,0.3875852378706137,2.4260518381992977,2.038466600328684,-5.259402064763825,2.191568091689165,120
bb_noise_l32_seed1_2k,multilingual_ar,0.380582083016634,3.997267797589302,3.616685714572668,-9.503037257838,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_hi,0.20375295225530862,3.1947529286146166,2.990999976359308,-14.679541784560227,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_ja,0.5564543843269348,4.158013066649437,3.601558682322502,-6.472334092000739,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_ko,0.37660561315715313,3.8527427941560743,3.476137180998921,-9.230178891540763,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_latin,0.41324442997574806,4.4622160404920574,4.048971610516309,-9.798006498850887,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_ru,0.3207838121801615,5.8340729534626,5.5132891412824385,-17.186930674001765,2.191568091689165,80
bb_noise_l32_seed1_2k,multilingual_zh,0.6084793820977211,4.5418889939785005,3.9334096118807795,-6.464326857420254,2.191568091689165,80
bb_noise_l32_seed1_2k,tokenizer_stress,0.48062532022595406,3.1705881396929425,2.6899628194669885,-5.596797976025003,2.191568091689165,120
bb_noise_l32_seed1_2k,typo_noise_heavy,2.8353178641200065,0.8203373056277633,-2.014980558492243,0.7106718382411877,2.191568091689165,200
bb_noise_l32_seed1_2k,typo_noise_light,1.3838238319009541,0.7453612808324397,-0.6384625510685145,0.46137560023912916,2.191568091689165,200
bb_noise_l32_seed1_2k,typo_noise_medium,1.842755225598812,0.7785762441903352,-1.0641789814084768,0.5774934004393703,2.191568091689165,200
bb_noise_l32_seed1_2k,unicode_stress,0.5613888148218393,3.822585642337799,3.2611968275159597,-5.809158895605933,2.191568091689165,128
bb_distill_then_lm_l32,clean_english,0.30890142926573755,0.6863485487848521,0.3774471195191145,-1.2219014991815056,2.221901499181506,500
bb_distill_then_lm_l32,code,0.3875852378706137,2.382039777437846,1.9944545395672322,-5.145847531564229,2.221901499181506,120
bb_distill_then_lm_l32,multilingual_ar,0.380582083016634,4.346541848778725,3.965959765762091,-10.420773711485392,2.221901499181506,80
bb_distill_then_lm_l32,multilingual_hi,0.20375295225530862,2.897643706202507,2.6938907539471986,-13.22135814047824,2.221901499181506,80
bb_distill_then_lm_l32,multilingual_ja,0.5564543843269348,3.7643889605998995,3.2079345762729647,-5.764955163671062,2.221901499181506,80
bb_distill_then_lm_l32,multilingual_ko,0.37660561315715313,5.3496686398983,4.973063026741147,-13.204962573582103,2.221901499181506,80
bb_distill_then_lm_l32,multilingual_latin,0.41324442997574806,5.919231176376343,5.505986746400595,-13.323801476825041,2.221901499181506,80
bb_distill_then_lm_l32,multilingual_ru,0.3207838121801615,5.082052940130234,4.761269127950072,-14.842610341185189,2.221901499181506,80
bb_distill_then_lm_l32,multilingual_zh,0.6084793820977211,4.429241573810577,3.820762191712856,-6.27919746194333,2.221901499181506,80
bb_distill_then_lm_l32,tokenizer_stress,0.48062532022595406,3.2516397272547084,2.7710144070287543,-5.765435757163253,2.221901499181506,120
bb_distill_then_lm_l32,typo_noise_heavy,2.8353178641200065,0.9116586031019688,-1.9236592610180376,0.6784633516267429,2.221901499181506,200
bb_distill_then_lm_l32,typo_noise_light,1.3838238319009541,0.7729263468831777,-0.6108974850177764,0.44145610946632463,2.221901499181506,200
