run,bucket,baseline_loss,bytebridge_loss,loss_delta_bytebridge_minus_baseline,relative_robustness_gain_vs_baseline,baseline_degradation_ratio,bytebridge_degradation_ratio,clean_retention,baseline_ppl,bytebridge_ppl,count
bb_clean_l32_seed1,clean_english,0.30890142926573755,0.8023380213081837,0.4934365920424461,-1.5973917414864376,1.0,1.0,2.5973917414864376,1.3619281176322608,2.2307503781345983,500
bb_clean_l32_seed1,code,0.3875852378706137,6.929923339684804,6.542338101814191,-16.879740151502357,1.2547214132090891,8.63716183907851,2.5973917414864376,1.473418539325425,1022.4155979162934,120
bb_clean_l32_seed1,multilingual_ar,0.380582083016634,8.179503220319749,7.798921137303115,-20.492086951350913,1.232050249561105,10.194585078971278,2.5973917414864376,1.4631360082333915,3567.0821666517263,80
bb_clean_l32_seed1,multilingual_hi,0.20375295225530862,7.060624229907989,6.85687127765268,-33.65286834745252,0.659605080946475,8.800061872171897,2.5973917414864376,1.2259952366820737,1165.1722741892931,80
bb_clean_l32_seed1,multilingual_ja,0.5564543843269348,7.127876079082489,6.5714216947555535,-11.809452634116782,1.8013978946281786,8.883881717908295,2.5973917414864376,1.74447627964044,1246.2272658736374,80
bb_clean_l32_seed1,multilingual_ko,0.37660561315715313,6.97929396033287,6.602688347175717,-17.53210285907367,1.2191773086073097,8.698695281763388,2.5973917414864376,1.45732944446051,1074.1596998458135,80
bb_clean_l32_seed1,multilingual_latin,0.41324442997574806,8.970042359828948,8.5567979298532,-20.706384186122897,1.3377873678280967,11.17987945430233,2.5973917414864376,1.5117144891141283,7863.934713358307,80
bb_clean_l32_seed1,multilingual_ru,0.3207838121801615,8.763774222135543,8.442990409955382,-26.319876781106252,1.03846658444627,10.922795616548896,2.5973917414864376,1.3782075969889913,6398.2143469941275,80
bb_clean_l32_seed1,multilingual_zh,0.6084793820977211,7.878758406639099,7.270279024541377,-11.948275058190514,1.969817308855074,9.819749528749819,2.5973917414864376,1.83763493256588,2640.591982078484,80
bb_clean_l32_seed1,tokenizer_stress,0.48062532022595406,8.031127492586771,7.550502172360817,-15.709746978813218,1.5559180848350436,10.009655879815222,2.5973917414864376,1.6170852822321584,3075.206992430915,120
bb_clean_l32_seed1,typo_noise_heavy,2.8353178641200065,0.980893980562687,-1.8544238835573195,0.654044439610962,9.178713969888685,1.2225445566737247,2.5973917414864376,17.03581451404758,2.666839279055557,200
bb_clean_l32_seed1,typo_noise_light,1.3838238319009541,0.9045074150711298,-0.4793164168298244,0.34637098001946465,4.4798233377887575,1.1273395888635098,2.5973917414864376,3.990130080107096,2.4707145864924174,200
bb_clean_l32_seed1,typo_noise_medium,1.842755225598812,0.9151966530829668,-0.9275585725158452,0.5033541946486304,5.965512137574318,1.1406622006903913,2.5973917414864376,6.313910565746857,2.4972662987370047,200
