step,loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,5.718172550201416,159031.08301258087,0.0,3247.2705078125,3300.0,0.41983398199954536
2,8.136213302612305,105906.9534907341,0.0,3286.181640625,3744.0,0.44835431600222364
3,7.9513959884643555,445161.2889881134,0.0,3288.314453125,3744.0,0.4741855559987016
4,7.247547149658203,41893.481164455414,0.0,3479.25048828125,4674.0,0.5015585299988743
5,7.06052827835083,15740.301259756088,0.0,3479.25048828125,4674.0,0.5273995610041311
6,6.428242206573486,12715.164974689484,0.0,3479.25048828125,4674.0,0.5529523240111303
7,6.239886283874512,238086.07472991943,0.0,3479.25048828125,4674.0,0.5785892660060199
8,6.399380683898926,57548.1950302124,0.0,3479.25048828125,4674.0,0.6043138070090208
9,6.189591407775879,36684.51296901703,0.0,3479.25048828125,4674.0,0.6297792110126466
10,6.643744945526123,29352.02608537674,0.0,3479.25048828125,4674.0,0.6552917480003089
11,6.2388105392456055,22297.15534901619,0.0,3479.25048828125,4674.0,0.6807866080052918
12,6.491563320159912,7173.663090229034,0.0,3479.25048828125,4674.0,0.7062506170041161
13,5.950685977935791,10642.339082956314,0.0,3479.25048828125,4674.0,0.7317468260007445
14,6.260250568389893,4549.708401441574,0.0,3479.25048828125,4674.0,0.7572799949994078
15,6.420066833496094,3001.7146179676056,0.0,3479.25048828125,4674.0,0.782881441002246
16,6.46177864074707,11606.754722356796,0.0,3479.25048828125,4674.0,0.8086311810038751
17,5.618942737579346,5725.347186565399,0.0,3580.87060546875,5642.0,0.8357744329987327
18,5.866301536560059,4407.246258497238,0.0,3580.87060546875,5642.0,0.8614495010115206
19,5.876536846160889,6762.340588927269,0.0,3580.87060546875,5642.0,0.8871554020006442
20,6.367607593536377,5129.900109052658,0.0,3580.87060546875,5642.0,0.9127176290057832
21,6.114498615264893,24416.104944229126,0.0,3580.87060546875,5642.0,0.9383233990083681
22,6.072882175445557,3541.9459944963455,0.0,3580.87060546875,5642.0,0.9639040090114577
23,4.839422225952148,2489.1132596731186,0.0,3581.10888671875,5642.0,0.9908068060030928
24,6.117971420288086,11454.48379766941,0.0,3581.10888671875,5642.0,1.0163396550051402
25,6.317416191101074,6021.427451133728,0.0,3581.10888671875,5642.0,1.0422380810050527
26,5.693014621734619,7367.579747438431,0.0,3581.10888671875,5642.0,1.0677784650033573
27,6.072719097137451,9923.701565504074,0.0,3581.10888671875,5642.0,1.093295096012298
28,5.867392063140869,4312.478543639183,0.0,3581.10888671875,5642.0,1.1187501790118404
29,5.55293607711792,50176.97119522095,0.0,3581.10888671875,5642.0,1.144317457001307
30,6.373466968536377,4198.869812130928,0.0,3581.10888671875,5642.0,1.1698565240076277
31,5.864990234375,2184.3902801275253,0.0,3581.10888671875,5642.0,1.1954442160058534
32,6.167505264282227,3232.7047293782234,0.0,3581.10888671875,5642.0,1.220849386008922
33,5.640192985534668,2647.3043065667152,0.0,3581.10888671875,5642.0,1.246498275999329
34,5.308367729187012,2778.8404701948166,0.0,3581.10888671875,5642.0,1.2737009810080053
35,6.0192790031433105,3007.553893685341,0.0,3581.10888671875,5642.0,1.2992769470001804
36,6.559726715087891,6271.65475153923,0.0,3581.10888671875,5642.0,1.3246585700107971
37,6.004295825958252,3669.3799604177475,0.0,3581.10888671875,5642.0,1.350144480005838
38,5.955535411834717,3831.2261748313904,0.0,3581.10888671875,5642.0,1.3758045910071814
39,5.978416919708252,2097.9988890886307,0.0,3581.10888671875,5642.0,1.401499095998588
40,6.065974712371826,3315.52660882473,0.0,3581.10888671875,5642.0,1.4270615970017388
41,5.807300567626953,2423.5049054920673,0.0,3581.10888671875,5642.0,1.4525360750121763
42,5.9197492599487305,1863.5729709416628,0.0,3581.10888671875,5642.0,1.4780589650035836
43,5.717288017272949,2110.9570001661777,0.0,3581.10888671875,5642.0,1.5038768840022385
44,5.715010643005371,1985.2316078096628,0.0,3581.10888671875,5642.0,1.5294777829985833
