step,loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,8.608396530151367,75144.96939086914,0.0,1922.57080078125,1942.0,0.37360875999729615
2,8.218587875366211,28756.86744785309,0.0,1922.57080078125,1988.0,0.4048193299968261
3,6.634788990020752,14848.730301141739,0.0,1922.57080078125,1996.0,0.4322006099973805
4,6.0509843826293945,23255.03624844551,0.0,2068.3359375,2368.0,0.45942192399525084
5,5.128563404083252,4733.233344078064,0.0,2068.3359375,2368.0,0.48627593599667307
6,5.205508232116699,6486.853027999401,0.0,2068.3359375,2368.0,0.512861397000961
7,4.993406295776367,4335.824114769697,0.0,2068.3359375,2368.0,0.5395291580061894
8,4.589391708374023,3843.04527528584,0.0,2068.3359375,2368.0,0.5660332609986654
9,4.725018501281738,3991.2027017772198,0.0,2068.3359375,2370.0,0.5929460339975776
10,4.661850929260254,4814.19589561224,0.0,2068.3359375,2370.0,0.6198130310076522
11,4.268248081207275,4960.648107379675,0.0,2068.3359375,2370.0,0.6465373990067746
12,4.221202850341797,4763.186909407377,0.0,2068.3359375,2370.0,0.6735240419948241
13,3.8658785820007324,4220.918856099248,0.0,2068.3359375,2370.0,0.7001269839965971
14,3.3223090171813965,5174.634691849351,0.0,2068.3359375,2370.0,0.7265735840046545
15,4.040546417236328,5446.8787170648575,0.0,2068.3359375,2370.0,0.7529592710052384
16,3.0259690284729004,3850.921625778079,0.0,2068.3359375,2374.0,0.7798710520000895
17,3.792215585708618,6982.833515018225,0.0,2068.3359375,2374.0,0.8067206749983598
18,2.4526047706604004,3825.252820402384,0.0,2068.3359375,2374.0,0.8333012490038527
19,2.2691550254821777,3586.0202887505293,0.0,2068.3359375,2374.0,0.8599171910027508
20,2.4128570556640625,6564.251333877444,0.0,2068.3359375,2374.0,0.8866286840057
21,2.100175619125366,4574.657020747662,0.0,2068.3359375,2374.0,0.913183434997336
22,2.4399232864379883,5871.4380904734135,0.0,2068.3359375,2374.0,0.9397417840082198
23,2.9663939476013184,4896.125513702631,0.0,2068.3359375,2374.0,0.9664122460089857
24,2.537259340286255,7281.1090260744095,0.0,2068.3359375,2374.0,0.9929588490049355
25,2.059922218322754,4429.158195339143,0.0,2068.3359375,2374.0,1.0195259519969113
26,2.6564435958862305,3629.45735450089,0.0,2068.3359375,2374.0,1.0461230320070172
27,2.5309414863586426,4362.082128062844,0.0,2068.3359375,2374.0,1.072402833000524
28,2.086199998855591,4503.615419983864,0.0,2068.3359375,2374.0,1.0991291050013388
29,2.5165374279022217,4879.090980313718,0.0,2068.3359375,2374.0,1.12587264800095
30,1.519120454788208,4142.937440663576,0.0,2068.3359375,2374.0,1.1525039690022822
31,2.674476385116577,6149.843873485923,0.0,2068.3359375,2374.0,1.1791178499988746
32,1.3852754831314087,4769.708774060011,0.0,2068.3359375,2374.0,1.2056498730089515
33,1.5094382762908936,4466.221281714737,0.0,2068.3359375,2374.0,1.2321777420002036
34,1.5023581981658936,3378.996200494468,0.0,2068.3359375,2374.0,1.2586765190062579
35,1.5076744556427002,4038.611823692918,0.0,2068.3359375,2374.0,1.285385295006563
36,1.1093840599060059,3731.543727695942,0.0,2068.3359375,2374.0,1.3129621340049198
37,1.2254638671875,3555.1376216858625,0.0,2068.3359375,2374.0,1.3394941430015024
38,1.56684148311615,10243.817959785461,0.0,2068.3359375,2374.0,1.3661127850064076
39,1.3373148441314697,5749.1669405549765,0.0,2068.3359375,2374.0,1.3926600929989945
40,1.3899955749511719,4099.4847458601,0.0,2068.3359375,2374.0,1.4191818840045016
41,1.2367725372314453,4479.959620773792,0.0,2068.3359375,2374.0,1.4457711220020428
42,1.1909205913543701,3921.78852943331,0.0,2068.3359375,2374.0,1.472425416999613
43,2.0529086589813232,4420.4650135189295,0.0,2068.3359375,2374.0,1.499230058005196
44,1.0903661251068115,2955.9993574917316,0.0,2068.3359375,2374.0,1.5263855259981938
45,0.9367110729217529,3480.1759232133627,0.0,2068.3359375,2374.0,1.5530648919957457
46,0.980603814125061,3326.142412237823,0.0,2068.3359375,2374.0,1.5796835490036756
47,1.297886848449707,3782.2919863909483,0.0,2068.3359375,2374.0,1.6061911750002764
48,1.3754563331604004,3320.7236137986183,0.0,2068.3359375,2374.0,1.6327345669997158
49,1.7921054363250732,4195.028097890317,0.0,2068.3359375,2374.0,1.6593378120014677
