step,loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,11.284538269042969,47699.99067401886,0.0,2406.0712890625,2572.0,0.3471306529827416
2,9.053838729858398,15711.346549510956,0.0,2477.82666015625,2584.0,0.37386804504785687
3,7.764969348907471,8491.59275406599,0.0,2478.52001953125,2584.0,0.39802617905661464
4,7.473126411437988,6697.324646413326,0.0,2496.359375,2616.0,0.426499875029549
5,7.148025035858154,3491.4008448272943,0.0,2496.359375,2616.0,0.45133331208489835
6,6.375633239746094,2444.292183160782,0.0,2496.359375,2632.0,0.47583693300839514
7,7.093997955322266,4185.540147677064,0.0,2496.359375,2636.0,0.5006507430225611
8,7.028778076171875,3123.1764190644026,0.0,2496.359375,2636.0,0.5250293060671538
9,7.169958114624023,2126.4250209480524,0.0,2497.25390625,2636.0,0.5492849419824779
10,6.684235572814941,2049.413287308067,0.0,2497.26171875,2636.0,0.5735537810251117
11,6.015151023864746,2754.266518972814,0.0,2529.244140625,2654.0,0.5981194539926946
12,6.587038993835449,2067.054033478722,0.0,2529.244140625,2654.0,0.6221259280573577
13,6.166406631469727,2358.5658979043365,0.0,2529.244140625,2654.0,0.6462632960174233
14,5.960755348205566,2076.2776506002992,0.0,2529.244140625,2654.0,0.6705773500725627
15,5.685940742492676,1739.561404261738,0.0,2529.244140625,2654.0,0.6946402790490538
16,6.273071765899658,1964.898485057056,0.0,2529.244140625,2654.0,0.7187781219836324
17,5.52528190612793,2556.2155325375497,0.0,2529.244140625,2654.0,0.742711647064425
18,5.335732460021973,2087.4443609789014,0.0,2529.244140625,2654.0,0.7665857049869373
19,5.792877197265625,2466.8623683471233,0.0,2529.244140625,2654.0,0.7908975500613451
20,5.322896957397461,2494.421015748754,0.0,2529.244140625,2654.0,0.8154329110402614
21,5.700089454650879,2292.455663576722,0.0,2533.9345703125,2674.0,0.8402293560793623
22,5.442984580993652,2613.363751463592,0.0,2533.9345703125,2674.0,0.8645007670857012
23,5.403105735778809,2319.4181903116405,0.0,2533.9345703125,2674.0,0.8889890150167048
24,5.207768440246582,2316.5982676148415,0.0,2533.9345703125,2674.0,0.9132975580869243
25,4.8388872146606445,2019.9702714830637,0.0,2533.9345703125,2674.0,0.937717835069634
26,4.267489910125732,1636.2019174918532,0.0,2533.9345703125,2674.0,0.9620427620830014
27,4.843729019165039,1998.772984586656,0.0,2533.9345703125,2674.0,0.9864747900282964
28,5.343669891357422,2075.3567570373416,0.0,2533.9345703125,2674.0,1.0111051499843597
29,4.817692756652832,2171.9046690762043,0.0,2564.9765625,2696.0,1.0357645869953558
30,4.4739460945129395,1724.0523269232363,0.0,2564.9765625,2696.0,1.0601152570452541
31,5.6972761154174805,2503.8061219956726,0.0,2564.9765625,2700.0,1.0842564440099522
32,4.686789035797119,2436.0284761562943,0.0,2564.9765625,2700.0,1.108719065086916
33,4.218863487243652,2091.1781494310126,0.0,2564.9765625,2700.0,1.1331501579843462
