step,loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,6.254055023193359,26087.001485824585,0.0,2453.560546875,2602.0,0.4255493359960383
2,5.403412818908691,16753.693118810654,0.0,2515.861328125,3192.0,0.4517328880028799
3,5.387725830078125,5703.956737160683,0.0,2516.0,3192.0,0.4742689609993249
4,5.505869388580322,4771.3343588113785,0.0,2516.0,3192.0,0.4963327949953964
5,5.466739654541016,5216.211113333702,0.0,2516.0,3196.0,0.5185204239969607
6,4.712369441986084,5274.87037730217,0.0,2784.53955078125,3876.0,0.5421771520050243
7,5.104860782623291,6986.456878662109,0.0,2784.53955078125,3876.0,0.5645858149946434
8,5.41400671005249,6950.123624444008,0.0,2784.53955078125,3876.0,0.5866691940027522
9,4.810985565185547,3925.6562783122063,0.0,2784.53955078125,3876.0,0.6086639249988366
10,5.128127098083496,3827.6759058237076,0.0,2784.53955078125,3876.0,0.6307445730053587
11,5.164483070373535,62548.385511398315,0.0,2784.53955078125,3876.0,0.6527447160042357
12,5.063549041748047,4684.4400289058685,0.0,2784.53955078125,3876.0,0.6748721729964018
13,4.51414680480957,9339.11962711811,0.0,2784.53955078125,3876.0,0.6968312399985734
14,4.654423236846924,2266.029035836458,0.0,2784.53955078125,3876.0,0.7187177209998481
15,4.6825761795043945,3669.125205516815,0.0,2784.53955078125,3876.0,0.7406462689978071
16,4.733397483825684,4070.975483894348,0.0,2784.53955078125,3876.0,0.7625006390007911
17,4.840020179748535,4028.437600135803,0.0,2784.53955078125,3876.0,0.7846133150014794
18,4.423018455505371,2897.391193509102,0.0,2784.53955078125,3876.0,0.8066243719949853
19,4.070730209350586,5922.811079144478,0.0,2784.53955078125,3876.0,0.8288754209934268
20,4.477406978607178,4125.496494472027,0.0,2784.53955078125,3876.0,0.8507063059951179
21,4.015929698944092,2126.508931219578,0.0,2784.53955078125,3876.0,0.8727302600018447
22,4.566593647003174,2628.592148452997,0.0,2784.53955078125,3876.0,0.8946306120051304
23,4.162755489349365,4800.435428619385,0.0,2784.53955078125,3876.0,0.9166670230042655
24,4.126041889190674,2294.7391064167023,0.0,2784.53955078125,3876.0,0.9386581300059333
25,4.5430402755737305,2510.198854148388,0.0,2784.53955078125,3876.0,0.9605281569965882
26,4.067395210266113,4345.9577885866165,0.0,2784.53955078125,3876.0,0.9824484379932983
27,4.14960241317749,2189.488443672657,0.0,2784.53955078125,3876.0,1.0042937410034938
28,3.9566030502319336,2851.2726978361607,0.0,2784.53955078125,3876.0,1.026372641994385
29,3.6294381618499756,3793.6576097011566,0.0,2784.53955078125,3876.0,1.0481757149973419
30,3.735325336456299,2611.8226232528687,0.0,2784.53955078125,3876.0,1.0700640919967555
31,3.592102527618408,2647.3024387657642,0.0,2784.53955078125,3876.0,1.09198309299245
32,3.442650556564331,2370.6830459833145,0.0,2784.53955078125,3876.0,1.1139101040025707
33,3.365199089050293,3041.800400197506,0.0,2784.53955078125,3876.0,1.1358756800036645
34,3.5864193439483643,3178.480721592903,0.0,2784.53955078125,3876.0,1.1577490680065239
35,3.4885709285736084,2563.3787393569946,0.0,2784.53955078125,3876.0,1.1797403630043846
36,3.5459303855895996,2317.104634165764,0.0,2784.53955078125,3876.0,1.2015202619950287
37,3.5618364810943604,2316.217435389757,0.0,2784.53955078125,3876.0,1.223621222001384
38,3.5102245807647705,3028.383030772209,0.0,2784.53955078125,3876.0,1.2454716929933056
39,3.1001229286193848,3906.2448058724403,0.0,2784.53955078125,3876.0,1.2673656789993402
40,3.2926218509674072,2612.8189336657524,0.0,2784.53955078125,3876.0,1.2896621709951432
41,3.2084336280822754,2384.864259958267,0.0,2784.53955078125,3876.0,1.3115688349935226
42,3.3751683235168457,2977.693870127201,0.0,2784.53955078125,3876.0,1.334753057002672
43,3.718921422958374,17460.75875711441,0.0,2784.53955078125,3890.0,1.3582666529982816
44,3.2319817543029785,3186.933362364769,0.0,2784.53955078125,3890.0,1.38024012799724
45,3.4973723888397217,2978.4171001315117,0.0,2784.53955078125,3890.0,1.4021278409927618
46,3.2496275901794434,1933.7919957339764,0.0,2784.53955078125,3890.0,1.42421565100085
47,3.0321664810180664,2227.048065572977,0.0,2784.53955078125,3890.0,1.4462228969932767
48,3.245767116546631,3990.536119699478,0.0,2784.53955078125,3890.0,1.4680181319999974
49,3.2845299243927,2374.719320356846,0.0,2784.53955078125,3890.0,1.4897955320047913
