step,loss,top1,top5,valid_spans,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,11.955771446228027,0.0,0.0,372,1316.4184231460094,0.0,3848.48974609375,4540.0,0.2591837179934373
2,11.295177459716797,0.07671232876712329,0.16164383561643836,365,1034.1583877503872,0.0,3848.48974609375,4542.0,0.3087975560047198
3,10.888033866882324,0.06764705882352941,0.19117647058823528,340,893.2923512011766,0.0,3848.48974609375,4542.0,0.3549955600028625
4,9.740486145019531,0.07049608355091384,0.1906005221932115,383,1057.833427786827,0.0,3848.48974609375,4542.0,0.4046041300025536
5,8.683511734008789,0.09253731343283582,0.18507462686567164,335,1170.332328081131,0.0,3848.48974609375,4542.0,0.4497372439946048
6,7.224216938018799,0.05113636363636364,0.07954545454545454,352,966.9588393121958,0.0,3848.48974609375,4542.0,0.4963102009933209
7,6.959438800811768,0.07356948228882834,0.15258855585831063,367,1197.3874683380127,0.0,3848.48974609375,4544.0,0.5446754489967134
8,7.11884069442749,0.12874251497005987,0.17964071856287425,334,1443.4955765902996,0.0,3848.48974609375,4544.0,0.5896271759993397
9,7.070549011230469,0.13031161473087818,0.26345609065155806,353,1680.4242841601372,0.0,3848.48974609375,4544.0,0.6364048830000684
10,6.879764080047607,0.16304347826086957,0.28532608695652173,368,1263.4392891526222,0.0,3848.48974609375,4544.0,0.6845958019985119
11,7.705612659454346,0.1810344827586207,0.2988505747126437,348,4385.042680501938,0.0,3848.48974609375,4544.0,0.731309084003442
12,5.681313514709473,0.21715817694369974,0.39946380697050937,373,1378.629810988903,0.0,3848.48974609375,4544.0,0.7798206510051386
13,5.0876359939575195,0.2132564841498559,0.45821325648414984,347,1587.6985357701778,0.0,3848.48974609375,4544.0,0.8256533709936775
14,4.791199207305908,0.2570621468926554,0.5084745762711864,354,1570.0329056084156,0.0,3848.48974609375,4544.0,0.8722556949942373
15,6.1263508796691895,0.22015915119363394,0.41644562334217505,377,2007.798295199871,0.0,3848.48974609375,4544.0,0.921490927998093
16,5.603632926940918,0.2779291553133515,0.47411444141689374,367,1874.9140135645866,0.0,3848.48974609375,4544.0,0.9696646240045084
17,4.5288896560668945,0.3780821917808219,0.6219178082191781,365,2147.941223502159,0.0,3848.48974609375,4544.0,1.0174338460055878
18,4.9579668045043945,0.32386363636363635,0.5284090909090909,352,1404.4961404204369,0.0,3848.48974609375,4544.0,1.0641653600032441
19,3.9783802032470703,0.43089430894308944,0.6422764227642277,369,1078.6630435287952,0.0,3848.48974609375,4544.0,1.1121383330028038
